Date,Network,Profile,Impressions,Engagements,AER
2023-10-02T12:42:00Z,TikTok,Perfil D,1124,100,0.08900000000000001
2023-06-28T13:38:00Z,TikTok,Perfil D,1134,69,0.0608
2023-09-04T10:19:00Z,TikTok,Perfil D,1303,58,0.044500000000000005
2023-10-24T11:06:00Z,Twitter,Perfil B,1878,53,0.0282
2023-08-21T13:55:00Z,TikTok,Perfil D,1933,169,0.0874
2023-10-19T15:13:00Z,Instagram,Perfil C,2259,0,0
2023-09-06T16:39:00Z,Twitter,Perfil B,2723,16,0.0059
2023-08-30T16:38:00Z,Twitter,Perfil B,2841,74,0.026000000000000002
2023-09-06T16:39:00Z,Twitter,Perfil B,3086,31,0.01
2023-02-09T12:43:00Z,Twitter,Perfil A,3788,131,0.0346
2023-04-10T14:05:00Z,Twitter,Perfil A,3965,117,0.029500000000000002
2023-04-10T14:05:00Z,Twitter,Perfil A,4028,47,0.011699999999999999
2023-10-30T15:01:00Z,Instagram,Perfil C,4054,0,0
2023-04-10T14:05:00Z,Twitter,Perfil A,4313,17,0.0039000000000000003
2023-10-24T12:35:00Z,Twitter,Perfil A,4315,459,0.10640000000000001
2023-10-24T12:36:00Z,Twitter,Perfil A,4417,62,0.013999999999999999
2023-10-23T13:46:00Z,Twitter,Perfil B,4497,221,0.049100000000000005
2023-04-10T14:05:00Z,Twitter,Perfil A,4613,30,0.006500000000000001
2023-04-10T14:05:00Z,Twitter,Perfil A,4798,24,0.005
2023-08-29T12:07:00Z,Instagram,Perfil C,4818,0,0
2023-08-29T09:58:00Z,Instagram,Perfil C,4930,0,0
2023-08-29T12:05:00Z,Instagram,Perfil C,4959,0,0
2023-08-29T13:48:00Z,Instagram,Perfil C,4973,0,0
2023-08-29T12:02:00Z,Instagram,Perfil C,5006,0,0
2023-08-29T09:58:00Z,Instagram,Perfil C,5033,0,0
2023-08-29T09:57:00Z,Instagram,Perfil C,5072,0,0
2023-08-29T12:02:00Z,Instagram,Perfil C,5108,0,0
2023-08-29T09:57:00Z,Instagram,Perfil C,5151,0,0
2023-08-29T13:47:00Z,Instagram,Perfil C,5171,0,0
2023-08-29T09:57:00Z,Instagram,Perfil C,5230,0,0
2023-08-29T08:11:00Z,Instagram,Perfil C,5230,0,0
2023-08-29T08:09:00Z,Instagram,Perfil C,5323,0,0
2023-08-29T08:05:00Z,Instagram,Perfil C,5445,0,0
2023-08-29T08:05:00Z,Instagram,Perfil C,5526,0,0
2023-08-29T08:01:00Z,Instagram,Perfil C,5663,0,0
2023-10-06T11:09:00Z,Twitter,Perfil B,5774,124,0.0215
2023-08-29T07:37:00Z,Instagram,Perfil C,5833,0,0
2023-10-31T13:17:00Z,Instagram,Perfil C,5834,0,0
2023-09-01T08:48:00Z,Instagram,Perfil C,5847,0,0
2023-10-31T13:16:00Z,Instagram,Perfil C,5856,0,0
2023-10-06T11:09:00Z,Twitter,Perfil B,5955,119,0.02
2023-10-31T13:17:00Z,Instagram,Perfil C,6044,0,0
2023-08-29T07:08:00Z,Instagram,Perfil C,6044,0,0
2023-08-29T17:41:00Z,Instagram,Perfil C,6088,0,0
2023-10-31T13:15:00Z,Instagram,Perfil C,6099,0,0
2023-10-31T11:06:00Z,Instagram,Perfil C,6119,0,0
2023-09-01T08:48:00Z,Instagram,Perfil C,6149,0,0
2023-10-31T11:04:00Z,Instagram,Perfil C,6270,0,0
2023-09-01T08:47:00Z,Instagram,Perfil C,6272,0,0
2023-08-29T06:38:00Z,Instagram,Perfil C,6287,0,0
2023-10-31T10:58:00Z,Instagram,Perfil C,6453,0,0
2023-05-24T06:50:00Z,Twitter,Perfil A,6453,21,0.0033
2023-06-28T17:11:00Z,Instagram,Perfil C,6474,0,0
2023-09-01T08:45:00Z,Instagram,Perfil C,6484,0,0
2023-08-29T17:40:00Z,Instagram,Perfil C,6500,0,0
2023-10-18T16:20:00Z,Twitter,Perfil B,6525,81,0.0124
2023-08-29T06:28:00Z,Instagram,Perfil C,6532,0,0
2023-06-26T17:28:00Z,Instagram,Perfil C,6575,0,0
2023-06-27T08:22:00Z,Instagram,Perfil C,6600,0,0
2023-06-28T16:58:00Z,Instagram,Perfil C,6672,0,0
2023-09-12T19:00:00Z,Twitter,Perfil B,6696,68,0.0102
2023-08-29T06:27:00Z,Instagram,Perfil C,6699,0,0
2023-06-28T16:47:00Z,Instagram,Perfil C,6704,0,0
2023-10-31T10:53:00Z,Instagram,Perfil C,6746,0,0
2023-10-27T16:04:00Z,Twitter,Perfil A,6752,26,0.0039000000000000003
2023-06-27T13:11:00Z,Instagram,Perfil C,6754,0,0
2023-06-27T08:21:00Z,Instagram,Perfil C,6783,0,0
2023-07-18T07:51:00Z,Twitter,Perfil A,6792,94,0.0138
2023-06-28T16:47:00Z,Instagram,Perfil C,6798,0,0
2023-06-27T15:51:00Z,Instagram,Perfil C,6828,0,0
2023-09-01T08:44:00Z,Instagram,Perfil C,6835,0,0
2023-06-28T16:46:00Z,Instagram,Perfil C,6836,0,0
2023-08-29T06:27:00Z,Instagram,Perfil C,6897,0,0
2023-06-28T16:46:00Z,Instagram,Perfil C,6905,0,0
2023-10-18T16:20:00Z,Twitter,Perfil B,6908,85,0.0123
2023-06-27T13:10:00Z,Instagram,Perfil C,6926,0,0
2023-09-12T19:00:00Z,Twitter,Perfil B,6949,58,0.0083
2023-06-27T08:21:00Z,Instagram,Perfil C,6957,0,0
2023-06-28T16:46:00Z,Instagram,Perfil C,6961,0,0
2023-06-27T15:51:00Z,Instagram,Perfil C,6964,0,0
2023-06-29T14:58:00Z,Instagram,Perfil C,6996,0,0
2023-06-26T17:28:00Z,Instagram,Perfil C,7015,0,0
2023-06-28T16:45:00Z,Instagram,Perfil C,7054,0,0
2023-06-27T15:51:00Z,Instagram,Perfil C,7077,0,0
2023-06-29T14:55:00Z,Instagram,Perfil C,7119,0,0
2023-08-29T06:26:00Z,Instagram,Perfil C,7146,0,0
2023-06-28T16:45:00Z,Instagram,Perfil C,7165,0,0
2023-06-27T13:10:00Z,Instagram,Perfil C,7168,0,0
2023-09-06T16:39:00Z,Twitter,Perfil B,7187,52,0.0072
2023-06-29T10:23:00Z,Instagram,Perfil C,7188,1,1e-4
2023-01-11T12:22:00Z,Instagram,Perfil C,7190,0,0
2023-06-27T15:50:00Z,Instagram,Perfil C,7270,0,0
2023-06-29T14:12:00Z,Instagram,Perfil C,7273,0,0
2023-06-28T16:43:00Z,Instagram,Perfil C,7289,0,0
2023-10-31T10:50:00Z,Instagram,Perfil C,7332,0,0
2023-06-29T12:40:00Z,Instagram,Perfil C,7341,0,0
2023-06-29T10:10:00Z,Instagram,Perfil C,7359,0,0
2023-06-27T08:20:00Z,Instagram,Perfil C,7393,0,0
2023-06-28T16:42:00Z,Instagram,Perfil C,7427,0,0
2023-06-29T09:44:00Z,Instagram,Perfil C,7470,0,0
2023-03-07T14:22:00Z,Instagram,Perfil C,7473,0,0
2023-08-29T06:26:00Z,Instagram,Perfil C,7494,0,0
2023-06-28T05:37:00Z,Instagram,Perfil C,7502,0,0
2023-09-06T16:39:00Z,Twitter,Perfil B,7555,49,0.006500000000000001
2023-06-12T13:17:00Z,Instagram,Perfil C,7580,0,0
2023-06-28T16:41:00Z,Instagram,Perfil C,7650,0,0
2023-06-29T08:50:00Z,Instagram,Perfil C,7719,0,0
2023-06-12T11:25:00Z,Instagram,Perfil C,7861,0,0
